ronda,jugador,contribucion,pago
1,1,60,29
1,2,65,24
1,3,60,29
1,4,60,29
1,5,40,49
1,6,50,39
1,7,20,69
1,8,20,69
1,9,40,49
1,10,55,34
1,11,30,59
1,12,50,39
1,13,40,49
1,14,70,19
1,15,35,54
1,16,75,14
1,17,46,43
1,18,35,54
1,19,20,69
1,20,40,49
1,21,40,49
1,22,30,59
2,1,75,4
2,2,35,44
2,3,40,39
2,4,45,34
2,5,80,-1
2,6,40,39
2,7,40,39
2,8,15,64
2,9,35,44
2,10,36,43
2,11,20,59
2,12,80,-1
2,13,20,59
2,14,43,36
2,15,20,59
2,16,40,39
2,17,39,40
2,18,25,54
2,19,30,49
2,20,39,40
2,21,50,29
2,22,20,59
3,1,30,38
3,2,15,53
3,3,50,18
3,4,50,18
3,5,25,43
3,6,25,43
3,7,30,38
3,8,10,58
3,9,50,18
3,10,50,18
3,11,45,23
3,12,50,18
3,13,15,53
3,14,50,18
3,15,50,18
3,16,50,18
3,17,50,18
3,18,1,67
3,19,50,18
3,20,16,52
3,21,20,48
3,22,20,48
4,1,25,11
4,2,1,35
4,3,40,-4
4,4,10,26
4,5,25,11
4,6,10,26
4,7,10,26
4,8,10,26
4,9,50,-14
4,10,10,26
4,11,40,-4
4,12,20,16
4,13,1,35
4,14,12,24
4,15,20,16
4,16,25,11
4,17,33,3
4,18,1,35
4,19,5,31
4,20,16,20
4,21,22,14
4,22,10,26
5,1,10,29
5,2,13,26
5,3,50,-11
5,4,4,35
5,5,100,-61
5,6,7,32
5,7,28,11
5,8,17,22
5,9,20,19
5,10,1,38
5,11,20,19
5,12,50,-11
5,13,0,39
5,14,1,38
5,15,20,19
5,16,9,30
5,17,9,30
5,18,1,38
5,19,1,38
5,20,16,23
5,21,33,6
5,22,20,19
6,1,6,11
6,2,0,17
6,3,45,-28
6,4,2,15
6,5,15,2
6,6,3,14
6,7,4,13
6,8,5,12
6,9,18,-1
6,10,8,9
6,11,10,7
6,12,15,2
6,13,1,16
6,14,2,15
6,15,0,17
6,16,40,-23
6,17,3,14
6,18,0,17
6,19,0,17
6,20,4,13
6,21,0,17
6,22,2,15
7,1,5,28
7,2,0,33
7,3,15,18
7,4,2,31
7,5,15,18
7,6,0,33
7,7,100,-67
7,8,100,-67
7,9,30,3
7,10,2,31
7,11,15,18
7,12,35,-2
7,13,0,33
7,14,2,31
7,15,0,33
7,16,17,16
7,17,0,33
7,18,0,33
7,19,0,33
7,20,6,27
7,21,16,17
7,22,0,33
8,1,1,18
8,2,0,19
8,3,0,19
8,4,0,19
8,5,10,9
8,6,0,19
8,7,0,19
8,8,0,19
8,9,50,-31
8,10,0,19
8,11,23,-4
8,12,80,-61
8,13,0,19
8,14,0,19
8,15,0,19
8,16,5,14
8,17,0,19
8,18,0,19
8,19,0,19
8,20,0,19
8,21,0,19
8,22,40,-21
9,1,0,9
9,2,0,9
9,3,3,6
9,4,0,9
9,5,0,9
9,6,50,-41
9,7,5,4
9,8,10,-1
9,9,12,-3
9,10,0,9
9,11,8,1
9,12,3,6
9,13,0,9
9,14,0,9
9,15,0,9
9,16,0,9
9,17,0,9
9,18,0,9
9,19,0,9
9,20,1,8
9,21,0,9
9,22,10,-1
10,1,0,25
10,2,0,25
10,3,0,25
10,4,0,25
10,5,0,25
10,6,0,25
10,7,30,-5
10,8,0,25
10,9,30,-5
10,10,0,25
10,11,0,25
10,12,8,17
10,13,0,25
10,14,0,25
10,15,0,25
10,16,0,25
10,17,0,25
10,18,0,25
10,19,0,25
10,20,2,23
10,21,100,-75
10,22,100,-75
